Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
台積電,2330-TW,633.1460674157303,664.9996999999998,34,55.88235294117647,3.081506705001516,0.3553439020030681,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
聯發科,2454-TW,342.7609427609428,534.75965,31,48.38709677419355,2.5919440330765133,0.2645904533530563,2001-07-23,2025-09-30,"B[1,7]S[1,7]"
鴻海,2317-TW,-12.903225806451612,395.553,33,42.42424242424242,2.765339340309766,0.2810785848022616,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
富邦金,2881-TW,500.6802721088436,225.74536500000005,39,33.33333333333333,2.169182262500811,0.1752601166853274,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
廣達,2382-TW,17.408906882591094,632.16056,30,50.0,4.155604633874595,0.3237318776630278,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
中華電,2412-TW,32.83582089552239,166.70085,34,47.05882352941176,3.28704618157432,0.2774593441539495,2000-10-27,2025-09-30,"B[1,7]S[1,7]"
台達電,2308-TW,507.829181494662,1059.30881,33,45.45454545454545,2.7714776554671987,0.3771962593705746,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
國泰金,2882-TW,-13.11258278145696,260.60502999999994,37,40.54054054054054,2.448300245559936,0.2513869620284684,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
台塑化,6505-TW,-11.739130434782606,-35.415335,36,22.22222222222222,0.7163744601122202,-0.1120064291485993,2003-12-26,2025-09-30,"B[1,7]S[1,7]"
聯電,2303-TW,-61.56118143459916,211.284885,34,44.11764705882353,2.472556533898336,0.1819805973613262,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
日月光投控,3711-TW,104.23412204234124,42.769380000000005,10,50.0,1.7763943330535663,0.1779123195956534,2018-04-30,2025-09-30,"B[1,7]S[1,7]"
中信金,2891-TW,11.71875,101.53099999999996,37,45.94594594594595,1.8064785804709127,0.1365102847316845,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
兆豐金,2886-TW,-8.60215053763441,-30.447305000000004,40,37.5,0.9111394102362634,-0.0745693159060547,2000-01-04,2025-09-30,"B[1,7]S[1,7]"
